"CubeId";"snbmonagg"
"PublishingDate";"2026-07-21 09:00"

"Date";"D0";"D1";"Value"
"2022-08";"B";"GM1";"780505"
"2022-08";"VV";"GM1";"2.64494807"
"2022-09";"B";"GM1";"776548"
"2022-09";"VV";"GM1";"1.72069603"
"2022-10";"B";"GM1";"766329"
"2022-10";"VV";"GM1";"-0.06051177"
"2022-11";"B";"GM1";"771043"
"2022-11";"VV";"GM1";"0.54048909"
"2022-12";"B";"GM1";"752533"
"2022-12";"VV";"GM1";"-2.23352496"
"2023-01";"B";"GM1";"732475"
"2023-01";"VV";"GM1";"-5.01622236"
"2023-02";"B";"GM1";"719999"
"2023-02";"VV";"GM1";"-6.46314578"
"2023-03";"B";"GM1";"705664"
"2023-03";"VV";"GM1";"-9.64054129"
"2023-04";"B";"GM1";"697982"
"2023-04";"VV";"GM1";"-10.23328373"
"2023-05";"B";"GM1";"683095"
"2023-05";"VV";"GM1";"-12.33189122"
"2023-06";"B";"GM1";"668191"
"2023-06";"VV";"GM1";"-13.8784848"
"2023-07";"B";"GM1";"651660"
"2023-07";"VV";"GM1";"-16.26469024"
"2023-08";"B";"GM1";"640788"
"2023-08";"VV";"GM1";"-17.90084625"
"2023-09";"B";"GM1";"634909"
"2023-09";"VV";"GM1";"-18.23956793"
"2023-10";"B";"GM1";"630200"
"2023-10";"VV";"GM1";"-17.76378031"
"2023-11";"B";"GM1";"628296"
"2023-11";"VV";"GM1";"-18.51349406"
"2023-12";"B";"GM1";"621192"
"2023-12";"VV";"GM1";"-17.4531881"
"2024-01";"B";"GM1";"607756"
"2024-01";"VV";"GM1";"-17.02706577"
"2024-02";"B";"GM1";"600072"
"2024-02";"VV";"GM1";"-16.65655091"
"2024-03";"B";"GM1";"602524"
"2024-03";"VV";"GM1";"-14.61602122"
"2024-04";"B";"GM1";"601715"
"2024-04";"VV";"GM1";"-13.79218948"
"2024-05";"B";"GM1";"596583"
"2024-05";"VV";"GM1";"-12.66470989"
"2024-06";"B";"GM1";"602622"
"2024-06";"VV";"GM1";"-9.81291277"
"2024-07";"B";"GM1";"597255"
"2024-07";"VV";"GM1";"-8.34867876"
"2024-08";"B";"GM1";"600729"
"2024-08";"VV";"GM1";"-6.25152156"
"2024-09";"B";"GM1";"609075"
"2024-09";"VV";"GM1";"-4.06892956"
"2024-10";"B";"GM1";"611103"
"2024-10";"VV";"GM1";"-3.03030784"
"2024-11";"B";"GM1";"620897"
"2024-11";"VV";"GM1";"-1.17762965"
"2024-12";"B";"GM1";"635568"
"2024-12";"VV";"GM1";"2.31426033"
"2025-01";"B";"GM1";"632465"
"2025-01";"VV";"GM1";"4.06561186"
"2025-02";"B";"GM1";"634649"
"2025-02";"VV";"GM1";"5.76214188"
"2025-03";"B";"GM1";"653881"
"2025-03";"VV";"GM1";"8.52364387"
"2025-04";"B";"GM1";"670321"
"2025-04";"VV";"GM1";"11.40174335"
"2025-05";"B";"GM1";"674118"
"2025-05";"VV";"GM1";"12.99651515"
"2025-06";"B";"GM1";"709414"
"2025-06";"VV";"GM1";"17.72122491"
"2025-07";"B";"GM1";"723526"
"2025-07";"VV";"GM1";"21.14189082"
"2025-08";"B";"GM1";"731330"
"2025-08";"VV";"GM1";"21.74041872"
"2025-09";"B";"GM1";"733855"
"2025-09";"VV";"GM1";"20.48680376"
"2025-10";"B";"GM1";"741713"
"2025-10";"VV";"GM1";"21.37282913"
"2025-11";"B";"GM1";"751863"
"2025-11";"VV";"GM1";"21.09303153"
"2025-12";"B";"GM1";"750196"
"2025-12";"VV";"GM1";"18.03552098"
"2026-01";"B";"GM1";"753088"
"2026-01";"VV";"GM1";"19.0718854"
"2026-02";"B";"GM1";"756261"
"2026-02";"VV";"GM1";"19.16208802"
"2026-03";"B";"GM1";"764506"
"2026-03";"VV";"GM1";"16.91821601"
"2026-04";"B";"GM1";"767065"
"2026-04";"VV";"GM1";"14.43248832"
"2026-05";"B";"GM1";"769137"
"2026-05";"VV";"GM1";"14.09530676"
"2026-06";"B";"GM1";"769152"
"2026-06";"VV";"GM1";"8.4207529"
